authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Mohamed Mounir Sraieb;(50%) Economics DepartmentUniversity of Essex; Colchester, United Kingdom;NA;NA;NA;0;United Kingdom;Colchester
Dhruv Sharma; Ecole Normale Superieure (Ecole Normale Superieure); Paris, France;NA;NA;NA;7;France;Paris
Smita Srinivas;(80%) Department of EconomicsOpen University; Milton Keynes, United Kingdom;NA;NA;NA;0;United Kingdom;Milton Keynes
Francesco Domenico Sandulli; Departamento de Organización de Empresa y MarketingFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Chittur Subramanian Srinivasan; Department of Food Economics and MarketingSchool of Agriculture, Policy and DevelopmentUniversity of Reading; Reading, United Kingdom;3;NA;1;19;United Kingdom;Reading
Wilfried Sand-Zantman; Département d'ÉconomieESSEC Business School; Cergy-Pontoise, France;NA;4;NA;64;France;Cergy-Pontoise
Sylaja Srinivasan; Bank of England; London, United Kingdom;NA;NA;1;20;United Kingdom;London
Peter Joseph Sanfey; European Bank for Reconstruction and Development (EBRD); London, United Kingdom;NA;NA;NA;2;United Kingdom;London
Sorawoot Srisuma; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;2;NA;NA;31;United Kingdom;Guildford
Manuel Staab; École d'Économie d'Aix-MarseilleAix-Marseille Université; Aix-en-Provence/Marseille, France;NA;NA;NA;12;France;Aix-en-Provence
Smriti Sharma; Economics Subject GroupBusiness SchoolNewcastle University; Newcastle upon Tyne, United Kingdom;NA;NA;NA;25;United Kingdom;Newcastle upon Tyne
Bilel Sanhaji; Laboratoire d'Économie Dionysien (LED)Université Paris-Saint-Denis (Paris VIII); Saint-Denis, France;NA;NA;NA;6;France;Saint-Denis
Mark Stabile; Economic and Political Sciences AreaINSEAD; Fontainebleau, France;NA;2;NA;36;France;Fontainebleau
Oscar San Jaime; Departament d'Anàlisi EconómicaFacultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;17;Spain;València
Leire San-Jose;(34%) Departamento de Economía Financiera IIFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;3;Spain;Bilbao
JESUS Carlos Sanjuan; Departamento de Economía Aplicada (Estructura Económica)Facultad de Ciencias Económicas y EmpresarialesUniversidad de Málaga; Málaga, Spain;NA;NA;NA;0;Spain;Málaga
Carlos San Juan Mesonada; Departamento de EconomíaUniversidad Carlos III de Madrid; Madrid, Spain;NA;2;NA;16;Spain;Madrid
Timothy P Sharpe; Nottingham Business SchoolNottingham Trent University; Nottingham, United Kingdom;NA;NA;NA;0;United Kingdom;Nottingham
Marta San Martin;(50%) Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Iain Staffell;(50%) Business SchoolImperial College; London, United Kingdom;NA;1;NA;8;United Kingdom;London
Esteban Sanroma;(34%) Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;38;Spain;Barcelona
Andreu Sanso; Departament d'Economia AplicadaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;NA;NA;NA;15;Spain;Palma de Mallorca
Lauren Stagnol; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;1;NA;8;France;Nanterre
Marcos Sanso-Navarro; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;12;Spain;Zaragoza
Jonathan Shaw;(50%) ESRC Centre for the Microeconomic Analysis of Public Policy (CPP)Institute for Fiscal Studies (IFS); London, United Kingdom;NA;NA;NA;70;United Kingdom;London
Dario Sansone;(99%) Department of EconomicsBusiness SchoolUniversity of Exeter; Exeter, United Kingdom;1;NA;1;43;United Kingdom;Exeter
Hubert Stahn; Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM)École d'Économie d'Aix-MarseilleAix-Marseille Université; Marseille, France;NA;17;NA;52;France;Marseille
Daniel Santabarbara; Banco de España; Madrid, Spain;NA;1;1;47;Spain;Madrid
Raul Santaeulalia-Llopis; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;4;1;8;117;Spain;Barcelona
Sotiris K Staikouras; Bayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Juan Santalo; IE Business SchoolUniversidad IE; Madrid, Spain;NA;1;NA;25;Spain;Madrid
Arthur Stalla-Bourdillon;(50%) Banque de France; Paris, France;NA;NA;NA;4;France;Paris
Gary Stephen Shea;University of St Andrews School of Economics & Finance; United Kingdom, St Andrews, Fife;NA;NA;NA;0;United Kingdom;Fife
Maria Santana Gallego; Departament d'Economia AplicadaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;1;NA;NA;34;Spain;Palma de Mallorca
Kevin Daniel Sheedy;(50%) Economics DepartmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;47;United Kingdom;London
Blagoy Stamenov; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;31;Spain;Sevilla
Rosa Santero; Departamento de Economía Aplicada IUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Elena G F Stancanelli;(96%) Paris School of Economics; Paris, France;NA;NA;NA;78;France;Paris
Rodriguez Feijoo Sr Santiago; Departamento de Métodos Cuantitativos en la Economía y la GestiónFacultad de Economía, Empresa y TurismoUniversidad de las Palmas de Gran Canaria; Las Palmas, Spain;NA;NA;NA;2;Spain;Las Palmas
Carlos Santiago-Caballero;(50%) Departamento de Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;1;NA;58;Spain;Madrid
Sandro Shelegia;(95%) Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;56;Spain;Barcelona
Daniel Santin; Instituto Complutense de Analisis Economico (ICAE)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;11;Spain;Madrid
Fabien Santini; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;23;Spain;Sevilla
Nihar Shembavnekar; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;0;United Kingdom;Brighton
Gianluca Santoni; Centre d'études prospectives et d'informations internationales (CEPII); Paris, France;NA;NA;NA;107;France;Paris
Andreia Inamorato dos Santos; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;11;Spain;Sevilla
Cristina Santos;"Department of Economics
Open University"; Milton Keynes, United Kingdom;NA;NA;NA;0;United Kingdom;Milton Keynes
Petar Stankov;(94%) Department of EconomicsRoyal Holloway; Egham, United Kingdom;NA;NA;NA;7;United Kingdom;Egham
Georgina Santos; Transport Studies UnitOxford University; Oxford, United Kingdom;NA;1;NA;6;United Kingdom;Oxford
Jose Ignacio Santos;"Grupo de Ingeniería de los Sistemas Sociales (INSISOC) (Social Systems Engineering Group)
Universidad de Valladolid (University of Valladolid)"; Valladolid, Spain;NA;NA;NA;0;Spain;Valladolid
Mike Stannett; University of Sheffield, Department of Computer Science; United Kingdom, Sheffield;NA;NA;NA;0;United Kingdom;Sheffield
Juan Luis Santos;(50%) Facultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;12;Spain;Alcalá de Henares
Juan Carlos Santos;(50%) Bilbao Research in Decisions, Games and Economics (BRiDGE)Facultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
David Shepherd; Business SchoolImperial College; London, United Kingdom;NA;NA;NA;7;United Kingdom;London
Christoper Paul Stapenhurst; School of EconomicsUniversity of Edinburgh; Edinburgh, United Kingdom;NA;NA;NA;0;United Kingdom;Edinburgh
Oleksandr Shepotylo; Aston Business SchoolAston University; Birmingham, United Kingdom;NA;NA;1;42;United Kingdom;Birmingham
Pedro M Santos; Bank of England; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Kevin Keith Sheppard;(50%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;37;United Kingdom;Oxford
Katherine Stapleton; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;3;United Kingdom;Oxford
Galen Sher; Bank of England; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Rita Santos; Centre for Health EconomicsDepartment of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;36;United Kingdom;York
Chris Starmer;(50%) School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;46;United Kingdom;Nottingham
Iago Santos Castroviejo; Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;0;Spain;Vigo
Mo Sherif;(50%) Edinburgh Business SchoolHeriot-Watt University; Edinburgh, United Kingdom;NA;NA;NA;0;United Kingdom;Edinburgh
Paulo Santos Monteiro; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;1;NA;NA;48;United Kingdom;York
Carine Staropoli; Paris School of Economics; Paris, France;NA;1;NA;9;France;Paris
Felipe Starosta de Waldemar; Réseaux Innovation Territoires Mondialisation (RITM)Université Paris-Saclay; Sceaux, France;NA;NA;NA;10;France;Sceaux
Joao M C. Santos Silva; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;40;United Kingdom;Guildford
Christophe Starzec;(90%) Centre National de la Recherche Scientifique; France, Paris;NA;NA;NA;8;France;Paris
Maria Leticia Santos Vijande; Facultad de Economía y EmpresaUniversidad de Oviedo; Oviedo, Spain;NA;NA;NA;0;Spain;Oviedo
Charalampos Stasinakis; Department of Accounting and FinanceAdam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;0;United Kingdom;Glasgow
Andrzej Stasio; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Remzi Sanver; Laboratoire d'Analyse et Modélisation de Systèmes pour l'Aide à la Décision (LAMSADE)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;24;France;Paris
Jesal Dilip Sheth; Centre for Decision Research and Experimental Economics (CeDEx)School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;0;United Kingdom;Nottingham
Carlos Sanz; Banco de España; Madrid, Spain;NA;NA;NA;43;Spain;Madrid
Ismael Sanz; Departamento de Economía Aplicada IUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;45;Spain;Madrid
Nicolas Sanz;(50%) UMSR CNRS 3456 LEEISA - Laboratoire Ecologie, Evolution, Interactions des Systèmes Amazoniens; France, Cayenne;NA;5;NA;13;France;Cayenne
Yevgeniya Shevtsova; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;16;Spain;Sevilla
Basilio Sanz Sanz-Carnero; Facultad de Ciencias Económicas y EmpresarialesUniversidad Nacional de Educatión a Distancia; Madrid, Spain;NA;NA;NA;2;Spain;Madrid
Anna Sanz-de-Galdeano; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;1;56;Spain;Barcelona
Isabel Sanz-Villarroya; Instituto Figuerola de Historia y Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;11;Spain;Madrid
Vania Stavrakeva; Department of EconomicsLondon Business School (LBS); London, United Kingdom;NA;NA;NA;13;United Kingdom;London
Nan Shi; Business SchoolDurham University; Durham, United Kingdom;NA;NA;NA;7;United Kingdom;Durham
Alejandro Saporiti; School of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;57;United Kingdom;Manchester
Victoria Saporta; Bank of England; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Alexander David Stead; Institute for Transport StudiesUniversity of Leeds; Leeds, United Kingdom;NA;NA;NA;0;United Kingdom;Leeds
Nikhil Sapre; Department of Economics, Finance and AccountingBusiness SchoolCoventry University; Coventry, United Kingdom;NA;NA;NA;5;United Kingdom;Coventry
Mark Steel; Department of StatisticsUniversity of Warwick; Coventry, United Kingdom;NA;2;2;44;United Kingdom;Coventry
Jose Maria Sarabia; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Cantabria; Santander, Spain;NA;NA;NA;8;Spain;Santander
G R. Steele; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;0;United Kingdom;Lancaster
Jerome Saracco; Bordeaux Sciences Économiques (BSE)Université de Bordeaux; Bordeaux, France;NA;NA;NA;0;France;Bordeaux
Yunnan Shi; Centre de Recherche en Économie et Management (CREM); Rennes/Caen, France;NA;NA;NA;0;France;Rennes
James M Steeley; Department of Economics and FinanceBrunel University; Uxbridge, United Kingdom;NA;NA;NA;0;United Kingdom;Uxbridge
Francesco Saraceno;(80%) Centre de recherche en Économie (OFCE)Sciences économiquesSciences Po; Paris, France;NA;NA;1;173;France;Paris
Ana Isabel Saracho; Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;3;Spain;Bilbao
Joana Saraiva; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;NA;2;United Kingdom;London
Katsuyuki Shibayama; School of EconomicsUniversity of Kent; Canterbury, United Kingdom;NA;2;NA;34;United Kingdom;Canterbury
Vassilis Sarantides; Department of EconomicsUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;29;United Kingdom;Sheffield
Amrita Saraogi; School of EconomicsUniversity of Kent; Canterbury, United Kingdom;NA;NA;1;7;United Kingdom;Canterbury
Cristina Sarasa; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;4;NA;16;Spain;Zaragoza
Radoslaw Stefanski;(90%) School of Economics and FinanceUniversity of St. Andrews; Fife, United Kingdom;NA;2;1;25;United Kingdom;Fife
Angela Sarcina; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Maria Sard; Departament d'Economia AplicadaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;NA;NA;NA;4;Spain;Palma de Mallorca
Jordi Sarda; Departament d'EconomiaFacultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;NA;0;Spain;Reus
Sulin Sardoschau; Paris School of Economics; Paris, France;NA;NA;NA;11;France;Paris
Jae Hun Shim; Department of EconomicsUniversity of Bath; Bath, United Kingdom;NA;NA;NA;5;United Kingdom;Bath
Nadia Steils;(50%) Lille Économie et Management (LEM); Lille, France;NA;NA;NA;0;France;Lille
Kenichi Shimamoto; Department of EconomicsUniversity of Birmingham; Birmingham, United Kingdom;NA;NA;NA;2;United Kingdom;Birmingham
Caroline Sargis Roussel;(50%) IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;0;France;Lille
Kenichi Shimizu; Adam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;3;United Kingdom;Glasgow
Florent Sari;(60%) Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;5;France;Créteil
Virgi Sari; Global Development Institute (GDI)University of Manchester; Manchester, United Kingdom;NA;NA;NA;0;United Kingdom;Manchester
George Saridakis; Kent Business SchoolUniversity of Kent; Canterbury, United Kingdom;NA;NA;NA;4;United Kingdom;Canterbury
Federico Steinberg; Facultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Ozcan Saritas;(50%) Manchester Institute of Innovation Research (MIoIR)Alliance Manchester Business SchoolUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;3;United Kingdom;Manchester
Yongcheol Shin; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;3;89;United Kingdom;York
Janina Isabel Steinert; Templeton CollegeOxford University; Oxford, United Kingdom;NA;NA;NA;3;United Kingdom;Oxford
Hui-Fai Shing; Department of EconomicsRoyal Holloway; Egham, United Kingdom;NA;NA;NA;4;United Kingdom;Egham
Andreas Steinhauer; School of EconomicsUniversity of Edinburgh; Edinburgh, United Kingdom;NA;NA;NA;21;United Kingdom;Edinburgh
Sudipa Sarkar; Departamento de Economía AplicadaFacultad de DerechoUniversidad de Salamanca; Salamanca, Spain;NA;NA;1;2;Spain;Salamanca
W Edward Steinmueller; Science Policy Research Unit (SPRU)Sussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;1;5;United Kingdom;Brighton
Behrang Shirizadeh; Centre International de Recherche sur l'Environnement et le Développement (CIRED); Paris, France;NA;2;NA;11;France;Paris
Michael Alfons Stemmer; Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;33;France;Paris
Edward Man Kee Shiu; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;0;United Kingdom;Bangor
Lucio Sarno;(99%) Judge Business SchoolUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;184;United Kingdom;Cambridge
